"No.","Time","Source","Destination","Protocol","Length","Info"
"3","0.855820","192.168.137.216","54.75.73.159","TCP","66","60600  >  80 [FIN, ACK] Seq=1 Ack=1 Win=66 Len=0 TSval=3031900230 TSecr=4148043838"
"74","40.302074","192.168.137.216","192.168.137.1","DNS","74","Standard query 0x8f3f A www.google.com"
"76","40.321687","192.168.137.216","142.250.74.36","QUIC","1292","Initial, DCID=68dcde791c6a1bf2, PKN: 1, PING, PING, CRYPTO, PADDING, CRYPTO, PING, PING, CRYPTO, CRYPTO, PING, PING, PING, CRYPTO, CRYPTO, CRYPTO, CRYPTO, PING, CRYPTO, PADDING, CRYPTO, CRYPTO"
"77","40.323248","192.168.137.216","142.250.74.36","QUIC","120","0-RTT, DCID=68dcde791c6a1bf2"
"78","40.326488","192.168.137.216","142.250.74.36","QUIC","1288","0-RTT, DCID=68dcde791c6a1bf2"
"79","40.326488","192.168.137.216","142.250.74.36","QUIC","1292","0-RTT, DCID=68dcde791c6a1bf2"
"80","40.326488","192.168.137.216","142.250.74.36","QUIC","1292","0-RTT, DCID=68dcde791c6a1bf2"
"81","40.326488","192.168.137.216","142.250.74.36","QUIC","164","0-RTT, DCID=68dcde791c6a1bf2"
"82","40.326488","192.168.137.216","142.250.74.36","QUIC","107","0-RTT, DCID=68dcde791c6a1bf2"
"87","40.354869","192.168.137.216","142.250.74.36","QUIC","1292","Handshake, DCID=e8dcde791c6a1bf2"
"88","40.354869","192.168.137.216","142.250.74.36","QUIC","115","Handshake, DCID=e8dcde791c6a1bf2"
"89","40.355297","192.168.137.216","142.250.74.36","QUIC","73","Protected Payload (KP0), DCID=e8dcde791c6a1bf2"
"91","40.369698","192.168.137.216","142.250.74.36","QUIC","74","Protected Payload (KP0), DCID=e8dcde791c6a1bf2"
"97","40.441012","192.168.137.216","142.250.74.36","QUIC","78","Protected Payload (KP0), DCID=e8dcde791c6a1bf2"
"98","40.441897","192.168.137.216","142.250.74.36","QUIC","73","Protected Payload (KP0), DCID=e8dcde791c6a1bf2"
"99","40.442219","192.168.137.216","142.250.74.36","QUIC","73","Protected Payload (KP0), DCID=e8dcde791c6a1bf2"
"118","40.455686","192.168.137.216","142.250.74.36","QUIC","73","Protected Payload (KP0), DCID=e8dcde791c6a1bf2"
"119","40.455686","192.168.137.216","142.250.74.36","QUIC","73","Protected Payload (KP0), DCID=e8dcde791c6a1bf2"
"120","40.456681","192.168.137.216","142.250.74.36","QUIC","73","Protected Payload (KP0), DCID=e8dcde791c6a1bf2"
"129","40.459968","192.168.137.216","142.250.74.36","QUIC","73","Protected Payload (KP0), DCID=e8dcde791c6a1bf2"
"130","40.461219","192.168.137.216","142.250.74.36","QUIC","73","Protected Payload (KP0), DCID=e8dcde791c6a1bf2"
"131","40.461428","192.168.137.216","142.250.74.36","QUIC","73","Protected Payload (KP0), DCID=e8dcde791c6a1bf2"
"136","40.463299","192.168.137.216","142.250.74.36","QUIC","73","Protected Payload (KP0), DCID=e8dcde791c6a1bf2"
"139","40.463989","192.168.137.216","142.250.74.36","QUIC","73","Protected Payload (KP0), DCID=e8dcde791c6a1bf2"
"144","40.466970","192.168.137.216","142.250.74.36","QUIC","73","Protected Payload (KP0), DCID=e8dcde791c6a1bf2"
"145","40.467707","192.168.137.216","142.250.74.36","QUIC","73","Protected Payload (KP0), DCID=e8dcde791c6a1bf2"
"146","40.467707","192.168.137.216","142.250.74.36","QUIC","73","Protected Payload (KP0), DCID=e8dcde791c6a1bf2"
"149","40.468993","192.168.137.216","142.250.74.36","QUIC","73","Protected Payload (KP0), DCID=e8dcde791c6a1bf2"
"150","40.468993","192.168.137.216","142.250.74.36","QUIC","73","Protected Payload (KP0), DCID=e8dcde791c6a1bf2"
"153","40.469083","192.168.137.216","142.250.74.36","QUIC","73","Protected Payload (KP0), DCID=e8dcde791c6a1bf2"
"154","40.469795","192.168.137.216","142.250.74.36","QUIC","73","Protected Payload (KP0), DCID=e8dcde791c6a1bf2"
"165","40.475439","192.168.137.216","142.250.74.36","QUIC","73","Protected Payload (KP0), DCID=e8dcde791c6a1bf2"
"166","40.475439","192.168.137.216","142.250.74.36","QUIC","73","Protected Payload (KP0), DCID=e8dcde791c6a1bf2"
"167","40.475524","192.168.137.216","142.250.74.36","QUIC","78","Protected Payload (KP0), DCID=e8dcde791c6a1bf2"
"169","40.475661","192.168.137.216","142.250.74.36","QUIC","73","Protected Payload (KP0), DCID=e8dcde791c6a1bf2"
"171","40.476714","192.168.137.216","142.250.74.36","QUIC","73","Protected Payload (KP0), DCID=e8dcde791c6a1bf2"
"173","40.478579","192.168.137.216","142.250.74.36","QUIC","73","Protected Payload (KP0), DCID=e8dcde791c6a1bf2"
"174","40.478918","192.168.137.216","142.250.74.36","QUIC","73","Protected Payload (KP0), DCID=e8dcde791c6a1bf2"
"175","40.479036","192.168.137.216","142.250.74.36","QUIC","73","Protected Payload (KP0), DCID=e8dcde791c6a1bf2"
"176","40.479746","192.168.137.216","142.250.74.36","QUIC","73","Protected Payload (KP0), DCID=e8dcde791c6a1bf2"
"177","40.480083","192.168.137.216","142.250.74.36","QUIC","73","Protected Payload (KP0), DCID=e8dcde791c6a1bf2"
"178","40.482613","192.168.137.216","142.250.74.36","QUIC","74","Protected Payload (KP0), DCID=e8dcde791c6a1bf2"
"191","42.920870","192.168.137.216","142.250.74.36","TCP","78","45724  >  443 [ACK] Seq=1 Ack=74 Win=111 Len=0 TSval=2540174056 TSecr=264114002 SLE=1 SRE=74"
"192","42.920870","192.168.137.216","142.250.74.170","TCP","78","60936  >  443 [ACK] Seq=1 Ack=74 Win=75 Len=0 TSval=2760642084 TSecr=4217224061 SLE=1 SRE=74"
"193","42.921857","192.168.137.216","142.250.74.36","TCP","66","45724  >  443 [FIN, ACK] Seq=1 Ack=74 Win=111 Len=0 TSval=2540174057 TSecr=264114002"
"194","42.921857","192.168.137.216","142.250.74.170","TCP","66","60936  >  443 [FIN, ACK] Seq=1 Ack=74 Win=75 Len=0 TSval=2760642086 TSecr=4217224061"
"197","42.935582","192.168.137.216","142.250.74.36","TCP","66","45724  >  443 [ACK] Seq=2 Ack=75 Win=111 Len=0 TSval=2540174070 TSecr=264114149"
"198","42.935582","192.168.137.216","142.250.74.170","TCP","66","60936  >  443 [ACK] Seq=2 Ack=75 Win=75 Len=0 TSval=2760642099 TSecr=4217224121"
"211","45.640250","192.168.137.216","216.58.207.225","TCP","66","42704  >  443 [ACK] Seq=1 Ack=74 Win=90 Len=0 TSval=247754504 TSecr=420626662"
"213","45.647388","192.168.137.216","216.58.207.225","TCP","66","42700  >  443 [ACK] Seq=1 Ack=74 Win=90 Len=0 TSval=247754512 TSecr=2832867164"
"215","45.835181","192.168.137.216","142.250.74.67","TCP","66","57032  >  443 [ACK] Seq=1 Ack=74 Win=76 Len=0 TSval=1178326975 TSecr=3591601740"
"220","46.306785","192.168.137.216","142.250.74.34","TCP","66","54344  >  443 [ACK] Seq=1 Ack=74 Win=81 Len=0 TSval=3172804000 TSecr=1121401196"
"244","50.288303","192.168.137.216","142.250.74.130","TCP","66","34526  >  443 [ACK] Seq=1 Ack=74 Win=76 Len=0 TSval=1047599220 TSecr=3837537302"
"245","50.288303","192.168.137.216","142.250.74.130","TCP","78","[TCP Dup ACK 244#1] 34526  >  443 [ACK] Seq=1 Ack=74 Win=76 Len=0 TSval=1047599221 TSecr=3837537523 SLE=1 SRE=74"
"257","50.851765","192.168.137.216","216.58.207.225","TCP","66","42704  >  443 [ACK] Seq=1 Ack=130 Win=90 Len=0 TSval=247759716 TSecr=420631662"
"258","50.851765","192.168.137.216","216.58.207.225","TCP","66","42700  >  443 [ACK] Seq=1 Ack=130 Win=90 Len=0 TSval=247759717 TSecr=2832872163"
"259","50.851765","192.168.137.216","216.58.207.225","TCP","78","42704  >  443 [ACK] Seq=1 Ack=131 Win=90 Len=0 TSval=247759717 TSecr=420631691 SLE=130 SRE=131"
"260","50.852060","192.168.137.216","216.58.207.225","TCP","78","42700  >  443 [ACK] Seq=1 Ack=131 Win=90 Len=0 TSval=247759718 TSecr=2832872194 SLE=130 SRE=131"
"261","50.852060","192.168.137.216","142.250.74.67","TCP","66","57032  >  443 [ACK] Seq=1 Ack=130 Win=76 Len=0 TSval=1178331993 TSecr=3591606740"
